week,Potencial de Hidrógeno (in situ),Sólidos Suspendidos Totales,Conductividad Eléctrica,Temperatura de la muestra,Caudal,Oxígeno disuelto (en campo),Turbiedad,Cianuro Total,Plomo total,Cobre total,Arsénico total,Zinc total,Cadmio total,Mercurio total
2003-01-05,8.64,9.0,772.0,16.4,0.35,7.95,6.78,0.004,0.03,0.044,0.002,0.009,0.006,0.0004
2003-01-12,8.54,5.0,859.0,16.3,0.262,8.12,9.85,0.004,,,,,,
2003-01-19,8.435,22.0,860.0,16.45,0.625,8.99,16.200000000000003,0.004,0.03,0.076,0.002,0.041,,
2003-01-26,8.43,10.0,756.0,12.9,0.6305000000000001,9.065,12.05,,,,,,,
2003-02-02,8.315,756.0,657.0,14.25,0.2895,8.524999999999999,141.0,0.004,,,,,,
2003-02-09,8.33,66.0,760.5,13.6,0.714,10.91,26.1,,,,,,,
2003-02-16,8.33,20.0,883.0,13.1,1.0725,8.504999999999999,59.4,0.004,0.03,0.316,0.002,0.111,,
2003-02-23,8.14,42.0,555.5,13.5,1.99,8.375,156.5,,,,,,,
2003-03-02,8.015,606.0,539.8,15.55,1.146,8.260000000000002,321.85,0.004,,,,,,
2003-03-09,8.15,,395.0,12.8,1.521,8.21,92.6,,,,,,,
2003-03-16,8.29,337.0,503.5,16.55,0.9425,,24.9,0.004,0.03,0.438,0.002,0.056,0.006,0.0004
2003-03-23,8.29,21.0,470.75,13.0,1.0085000000000002,8.235,20.4,,,,,,,
2003-03-30,8.275,13.0,351.95,14.75,0.95,7.865,11.15,0.004,,,,,,
2003-04-06,8.24,104.0,405.5,13.15,1.069,7.65,33.35,,,,,,,
2003-04-13,8.32,14.0,529.0,15.45,0.47,7.66,4.265,0.004,0.03,0.189,0.002,0.044,,
2003-04-20,8.405000000000001,5.0,438.9,12.2,0.3369999999999999,9.36,3.805,,,,,,,
2003-04-27,8.56,7.0,419.2,13.95,0.327,10.115,5.415,0.004,,,,,,
2003-05-04,8.42,5.0,550.0,16.5,0.23,8.82,3.65,,,,,,,
2003-05-11,8.209999999999999,5.0,488.6,13.4,0.215,9.75,2.72,0.004,0.03,0.034,0.002,0.003,,
2003-05-18,8.05,8.0,472.4,14.55,0.231,9.525,2.905,,,,,,,
2003-05-25,8.07,5.0,427.0,11.8,0.177,10.63,2.35,0.004,,,,,,
2003-06-01,8.23,5.0,434.1,12.5,0.141,10.13,1.8,,,,,,,
2003-06-08,8.25,8.0,395.3,15.4,0.145,9.85,4.35,0.004,0.03,0.023,0.002,0.027,,
2003-06-15,8.54,5.0,412.5,15.2,0.13,7.32,2.0,,,,,,,
2003-06-22,8.345,9.0,350.3,8.899999999999999,0.0875,11.32,1.15,0.004,,,,,,
2003-06-29,8.4,6.0,450.1,13.0,0.169,9.18,4.89,,,,,,,
2003-07-06,8.05,8.0,457.3,7.2,0.1685,10.18,3.25,0.004,0.03,0.018,0.002,0.007,,
2003-07-13,8.43,27.0,471.3,12.0,0.2,9.72,2.47,,,,,,,
2003-07-20,8.57,5.0,687.0,14.1,0.1916,8.58,4.25,0.004,,,,,,
2003-07-27,8.55,10.0,758.0,13.8,0.17,9.54,4.24,,,,,,,
2003-08-03,8.05,13.0,725.0,12.5,0.158,10.05,5.5,0.004,,,,,,
2003-08-10,8.11,5.0,692.0,12.7,0.15,9.72,2.42,0.004,0.03,0.035,0.002,0.016,,
2003-08-17,8.335,5.0,711.0,13.3,0.147,9.1,7.085,,,,,,,
2003-08-24,8.44,5.0,705.0,11.4,0.12684,10.36,3.19,0.004,,,,,,
2003-08-31,8.51,5.0,777.0,16.5,0.093,10.18,2.5,,,,,,,
2003-09-07,8.67,5.0,737.0,16.9,0.08,8.23,2.17,0.004,0.03,0.024,0.002,0.014,,
2003-09-14,8.5,8.0,693.0,15.8,0.073,9.0,2.6,,,,,,,
2003-09-21,8.66,25.0,775.0,20.1,0.067,7.68,0.57,0.004,,,,,,
2003-09-28,8.73,6.0,765.0,21.4,0.047,10.12,1.24,,,,,,,
2003-10-05,8.47,5.0,886.0,24.0,0.042,12.03,1.35,0.004,0.03,0.022,0.002,0.011,,
2003-10-12,8.24,5.0,966.0,16.3,0.039,,4.19,,,,,,,
2003-10-19,8.61,5.0,843.0,22.9,0.0355,10.99,1.41,0.004,,,,,,
2003-10-26,8.39,5.0,876.0,22.0,0.033,,1.42,,,,,,,
2003-11-02,8.49,5.0,897.0,14.9,0.0532,11.7,2.6,0.004,,,,,,
2003-11-09,8.46,5.0,762.0,21.8,0.057,9.45,2.37,0.004,0.03,0.022,0.002,0.013,0.006,
2003-11-16,8.32,5.0,1487.0,26.0,0.055,5.89,4.1,,,,,,,
2003-11-23,8.19,5.0,1623.0,20.5,0.054,8.89,1.91,0.004,,,,,,
2003-11-30,8.23,5.0,1719.0,24.8,0.043,7.67,1.71,0.004,,,,,,
2003-12-07,8.35,5.0,1457.0,21.3,0.0287,,,0.004,0.03,0.014,0.002,0.024,,
2003-12-14,8.32,5.0,1786.0,18.3,0.0253,9.25,3.49,,,,,,,
2003-12-21,8.41,9.0,1562.0,17.2,0.09325,10.115,6.81,0.004,,,,,,
2003-12-28,,,,,,,,,,,,,,
2004-01-04,,,,,,,,,,,,,,
2004-01-11,8.49,25.0,980.0,17.8,180.0,,,,,,,,,
2004-01-18,8.260000000000002,60.0,976.5,18.6,504.0,5.66,,0.005,,,,,,
2004-01-25,8.74,12.0,1138.0,15.9,505.75,5.19,,0.005,,,,,,
2004-02-01,,,,,,,,,,,,,,
2004-02-08,8.445,5.5,1143.5,19.4,240.45,4.355,4.35,0.005,0.08,0.05,0.0012,0.03,0.01,0.0005
2004-02-15,7.76,19.0,810.0,13.9,667.0,5.79,14.0,,,,,,,
2004-02-22,,,,,,,,,,,,,,
2004-02-29,8.34,6.0,852.0,22.4,210.0,4.9,6.72,0.005,,,,,,
2004-03-07,8.4,5.0,1087.0,18.8,327.0,4.96,2.41,,,,,,,
2004-03-14,8.29,8.0,1217.5,15.6,196.605,5.145,2.155,0.005,0.08,0.04,0.0013,0.01,0.01,0.0007
2004-03-21,,,,,,,,,,,,,,
2004-03-28,8.28,8.0,1080.0,19.7,120.0,5.1,6.23,0.005,,,,,,
