week,Potencial de Hidrógeno (in situ),Sólidos Suspendidos Totales,Conductividad Eléctrica,Temperatura de la muestra,Caudal,Oxígeno disuelto (en campo),Turbiedad,Cianuro Total,Plomo total,Cobre total,Arsénico total,Zinc total,Cadmio total,Mercurio total
2003-01-05,8.75,24.0,335.3,16.5,39.39,8.01,21.2,,,,,,,
2003-01-12,8.71,5.0,623.0,16.8,44.4,9.63,2.37,0.004,,,,,,
2003-01-19,8.93,9.0,413.3,18.5,28.93,8.5,9.48,0.004,0.03,0.019,0.002,0.036,,
2003-01-26,8.25,37.0,287.2,15.3,55.52,8.41,41.2,,,,,,,
2003-02-02,8.26,22.0,267.7,13.7,57.41,9.35,25.6,0.004,,,,,,
2003-02-09,8.22,82.0,307.6,13.2,58.086,8.76,65.5,,,,,,,
2003-02-16,8.11,214.0,292.5,11.1,58.08,7.98,187.0,0.004,0.03,0.02,0.007,0.045,,
2003-02-23,8.44,5.0,414.8,15.2,21.065,8.91,2.67,,,,,,,
2003-03-02,8.29,361.0,128.1,12.3,79.248,8.58,303.0,0.004,,,,,,
2003-03-09,8.15,355.0,119.0,11.0,121.57,8.45,303.0,,,,,,,
2003-03-16,8.14,30.0,201.0,14.0,63.62,,18.8,,0.03,,0.002,0.043,0.006,0.0004
2003-03-23,8.08,48.0,180.6,11.7,63.838,7.95,33.7,,0.03,0.0814999999999999,0.002,0.0385,0.006,0.0004
2003-03-30,8.25,13.0,212.1,12.7,40.97,8.3,10.6,0.004,,,,,,
2003-04-06,7.96,80.0,174.3,12.6,96.09,8.27,77.1,,,,,,,
2003-04-13,8.3,6.0,292.0,16.1,26.355,7.79,2.44,0.004,0.03,0.016,0.002,0.034,,
2003-04-20,8.31,5.0,295.0,12.3,18.73,9.63,1.53,,,,,,,
2003-04-27,8.2,5.0,306.8,12.4,11.47,10.59,1.21,0.004,,,,,,
2003-05-04,8.45,5.0,523.0,13.8,8.77,10.41,1.4,,,,,,,
2003-05-11,7.84,5.0,558.0,16.5,7.117,10.18,0.73,0.004,0.03,0.01,0.007,0.005,,
2003-05-18,7.66,5.0,629.0,11.4,7.719,10.15,1.01,,,,,,,
2003-05-25,7.82,5.0,597.0,12.2,7.766,9.82,0.43,0.004,,,,,,
2003-06-01,7.7,5.0,582.0,9.3,7.709,11.21,0.79,,,,,,,
2003-06-08,7.69,5.0,720.0,11.0,7.56,10.15,0.66,0.004,0.03,0.008,0.011,0.025,,
2003-06-15,8.18,5.0,1016.0,14.5,6.582,9.55,1.22,,,,,,,
2003-06-22,7.78,7.0,808.0,8.25,5.573,9.68,0.48,0.004,,,,,,
2003-06-29,7.95,5.0,898.1,11.8,5.32,10.38,0.8,,,,,,,
2003-07-06,7.8,5.0,828.0,13.5,5.31,10.06,0.57,0.004,0.03,0.01,0.012,0.002,,
2003-07-13,7.48,5.0,859.0,8.2,4.99,9.96,0.74,,,,,,,
2003-07-20,7.8,12.0,1725.0,11.8,2.95,9.36,0.78,0.004,,,,,,
2003-07-27,7.6,5.0,2015.0,10.5,2.46,10.55,1.11,,,,,,,
2003-08-03,7.55,6.0,1969.0,8.5,2.797,10.38,0.69,0.004,,,,,,
2003-08-10,7.57,5.0,2064.0,10.6,2.52,10.78,0.79,0.004,0.03,0.01,0.01,0.016,,
2003-08-17,8.24,5.0,2549.0,16.2,2.492,10.53,1.09,,,,,,,
2003-08-24,7.59,5.0,1870.0,9.8,2.1497,10.26,0.76,0.004,,,,,,
2003-08-31,7.77,5.0,2341.0,13.3,2.65,9.61,0.53,,,,,,,
2003-09-07,8.41,5.0,2613.0,16.2,2.35,10.38,0.86,0.004,0.03,0.011,0.013,0.016,,
2003-09-14,8.25,5.0,2654.0,15.6,1.96,11.5,0.54,,,,,,,
2003-09-21,8.72,6.0,2898.0,18.6,1.985,11.52,0.57,0.004,,,,,,
2003-09-28,8.16,5.0,2080.0,14.5,1.875,9.6,1.04,,,,,,,
2003-10-05,8.34,5.0,2260.0,19.0,1.818,11.24,0.98,0.004,0.03,0.01,0.017,0.013,,
2003-10-12,8.25,5.0,2714.0,18.1,1.797,,0.81,,,,,,,
2003-10-19,8.41,5.0,2834.0,18.9,1.546,11.76,0.74,0.004,,,,,,
2003-10-26,8.49,5.0,2902.0,21.2,1.152,,1.41,,,,,,,
2003-11-02,8.3,5.0,3427.0,15.6,1.432,11.8,0.94,0.004,,,,,,
2003-11-09,8.02,5.0,3025.0,21.0,1.189,11.39,1.26,0.004,0.03,0.01,0.011,0.009,0.006,
2003-11-16,8.5,5.0,2043.0,21.2,1.215,9.32,2.75,,,,,,,
2003-11-23,8.4,5.0,2991.0,20.9,1.09,10.77,1.64,0.004,,,,,,
2003-11-30,7.9,8.0,2915.0,19.3,1.08,12.8,3.6,0.004,,,,,,
2003-12-07,8.2,5.0,3010.0,20.1,1.18,,,0.004,0.03,0.01,0.014,0.01,,
2003-12-14,8.18,5.0,3635.0,19.3,1.11,13.25,2.83,,,,,,,
2003-12-21,7.9,10.5,3049.0,14.55,2.7575,9.655,2.52,0.004,,,,,,
