week,Potencial de Hidrógeno (in situ),Sólidos Suspendidos Totales,Conductividad Eléctrica,Temperatura de la muestra,Caudal,Oxígeno disuelto (en campo),Turbiedad,Cianuro Total,Plomo total,Cobre total,Arsénico total,Zinc total,Cadmio total,Mercurio total
2003-01-05,8.35,8.0,828.0,13.9,,7.64,8.8,,,,,,,
2003-01-12,8.27,5.0,951.0,15.3,,8.3,3.7,,,,,,,
2003-01-19,8.3,5.0,853.0,15.3,,8.45,10.6,,,,,,,
2003-01-26,8.3,7.0,836.0,15.2,0.25,8.22,6.6,,,,,,,
2003-02-02,8.28,5.0,633.0,12.4,0.201,10.49,2.57,,,,,,,
2003-02-09,8.3,13.0,865.0,14.65,0.3465,,7.0600000000000005,,,,,,,
2003-02-16,8.31,18.0,1005.0,14.8,0.835,8.875,14.1,,,,,,,
2003-02-23,8.17,44.0,838.0,16.1,1.099,7.5,19.2,,,,,,,
2003-03-02,8.15,19.0,746.0,20.0,,8.77,12.4,,,,,,,
2003-03-09,8.25,16.0,463.7,14.3,,8.51,10.3,,,,,,,
2003-03-16,7.98,10.0,549.0,16.6,0.337,,7.95,0.004,,,,,,
2003-03-23,8.34,11.0,482.1,13.0,0.353,7.93,9.55,,,,,,,
2003-03-30,8.34,7.0,568.0,13.5,,7.87,6.11,,,,,,,
2003-04-06,8.21,5.0,367.2,14.6,,7.89,7.52,,,,,,,
2003-04-13,8.24,8.0,481.2,15.0,,8.34,3.96,,,,,,,
2003-04-20,8.26,18.0,491.0,16.0,,10.52,13.2,,,,,,,
2003-04-27,8.49,9.0,492.0,14.9,,9.12,6.99,,,,,,,
2003-05-04,8.0,5.0,468.0,15.7,,8.59,4.41,,,,,,,
2003-05-11,8.25,5.0,483.3,12.2,,10.2,4.16,,,,,,,
2003-05-18,8.24,5.0,469.0,12.0,,9.95,3.52,,,,,,,
2003-05-25,8.2,5.0,440.0,11.2,0.204,9.11,2.51,,,,,,,
2003-06-01,7.91,5.0,428.0,11.0,,9.98,2.19,,,,,,,
2003-06-08,8.31,5.0,379.1,14.4,0.175,9.13,2.73,0.004,,0.032,,,,
2003-06-15,8.39,5.0,348.1,11.5,,9.19,2.38,,,,,,,
2003-06-22,7.73,5.0,351.1,9.2,,9.78,4.9,,,,,,,
2003-06-29,7.91,6.0,362.3,11.0,0.159,10.27,2.82,,,,,,,
2003-07-06,7.7,12.0,351.7,10.9,,9.5,6.09,,,,,,,
2003-07-13,7.68,6.0,375.0,9.5,,9.15,3.15,,,,,,,
2003-07-20,8.15,7.0,625.0,8.8,,10.12,2.33,,,,,,,
2003-07-27,7.95,8.0,687.0,13.5,,9.26,3.44,,,,,,,
2003-08-03,8.13,10.0,787.0,15.0,0.138,8.57,3.59,,,,,,,
